RET_M1,CUSTOMER_ID,MES_BGI,MES_CLIENTE,YEAR_BGI,YEAR_CLIENTE,MES_COSECHA,YEAR_COSECHA,CLTE_COSECHA,ORD_ORDENES_TOTALES,ORD_ORDENES_COMPLETADAS,ORD_ORDENES_COMPLETADAS_A_TIEMPO,ORD_ORDENES_COMPLETADAS_CON_RETRASO,ORD_ORDENES_CANCELADAS,ORD_ORDENES_OTROS,MNT_TOTAL_GMV,MNT_TOTAL_DESCUENTO,MNT_TOTAL_COSTO_ENVIO,MNT_TOTAL_COSTO_SERVICIO,MNT_TOTAL_PROPINA,MNT_PROM_GMV,MNT_PROM_DESCUENTO,MNT_PROM_COSTO_ENVIO,MNT_PROM_PROM_SERVICIO,MNT_PROM_PROPINA,MDP_TOT_ORDENES_CASH,MDP_TOT_ORDENES_TDC,MDP_TOT_ORDENES_PAGO_DIGITAL,MDP_TOT_ORDENES_PAGO_DIGITAL_RAPPI,MDP_TOT_TARJETA_DEBITO,MDP_TOT_TDC_NACIONAL,MDP_TOT_TDC_INTERNACIONAL,EXP_TIEMPO_ESPERA_EFECTIVO_M,EXP_TIEMPO_ESPERA_PROMETIDO_M,EXP_KPI_TIEMPO_ESPERA,EXP_ORDEN_CON_RECLAMO,EXP_ORDEN_SIN_RECLAMO,EXP_ORDENES_WEB,EXP_ORDENES_ANDROID,EXP_ORDENES_IOS
0,188302410,2,1,2022,2022,1,2022,1,1,0,0,0,1,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,NULL,163,NULL,0,1,0,0,1
0,188321564,1,12,2022,2021,12,2021,1,1,1,1,0,0,0,12690,0,5200,2597,2000,12690,0,5200,2597,2000,1,0,0,0,0,0,0,30,55,0.5454545455,0,1,0,1,0
0,188514312,9,8,2021,2021,8,2021,1,1,1,1,0,0,0,44020,39020,8500,10360,5000,44020,39020,8500,10360,5000,0,1,0,0,0,0,1,96,155,0.6193548387,0,1,0,0,1
0,188830737,10,9,2021,2021,9,2021,1,4,2,2,0,2,0,39800,17000,17000,21606,4000,19900,8500,8500,10803,2000,2,0,0,0,0,0,0,75,104,0.7281553398,2,2,0,4,0
0,188947202,11,10,2021,2021,10,2021,1,4,0,0,0,4,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,69,80,0.8625,3,1,0,4,0
0,1910185076,12,11,2021,2021,11,2021,1,1,1,1,0,0,0,19755,7500,7500,-12245,2000,19755,7500,7500,-12245,2000,1,0,0,0,0,0,0,23,73,0.3150684932,0,1,0,0,1
0,1910616942,11,10,2021,2021,10,2021,1,1,1,1,0,0,0,27700,0,4600,9033,0,27700,0,4600,9033,0,1,0,0,0,0,0,0,18,96,0.1875,0,1,0,0,1
0,1910881493,11,10,2021,2021,10,2021,1,3,3,3,0,0,0,35418,22500,22500,14118,0,11806,7500,7500,4706,0,3,0,0,0,0,0,0,735,739,0.9945872801,2,1,0,3,0
0,1910883622,12,11,2021,2021,11,2021,1,1,1,1,0,0,0,10201,8500,8500,3391,0,10201,8500,8500,3391,0,1,0,0,0,0,0,0,39,103,0.3786407767,0,1,0,1,0
0,1910949130,9,8,2021,2021,8,2021,1,1,1,1,0,0,0,22145,0,5700,2932,0,22145,0,5700,2932,0,1,0,0,0,0,0,0,13,34,0.3823529412,0,1,0,0,1
